label,gender,log_mel_0,log_mel_1,log_mel_2,log_mel_3,log_mel_4,log_mel_5,log_mel_6,log_mel_7,log_mel_8,log_mel_9,log_mel_10,log_mel_11,log_mel_12,log_mel_13,log_mel_14,log_mel_15,log_mel_16,log_mel_17,log_mel_18,log_mel_19,log_mel_20,log_mel_21,log_mel_22,log_mel_23,log_mel_24,log_mel_25,log_mel_26,log_mel_27,log_mel_28,log_mel_29,log_mel_30,log_mel_31,log_mel_32,log_mel_33,log_mel_34,log_mel_35,log_mel_36,log_mel_37,log_mel_38,log_mel_39,log_mel_40,log_mel_41,log_mel_42,log_mel_43,log_mel_44,log_mel_45,log_mel_46,log_mel_47,log_mel_48,log_mel_49,log_mel_50,log_mel_51,log_mel_52,log_mel_53,log_mel_54,log_mel_55,log_mel_56,log_mel_57,log_mel_58,log_mel_59,log_mel_60,log_mel_61,log_mel_62,log_mel_63,log_mel_64,log_mel_65,log_mel_66,log_mel_67,log_mel_68,log_mel_69,log_mel_70,log_mel_71,log_mel_72,log_mel_73,log_mel_74,log_mel_75,log_mel_76,log_mel_77,log_mel_78,log_mel_79,log_mel_80,log_mel_81,log_mel_82,log_mel_83,log_mel_84,log_mel_85,log_mel_86,log_mel_87,log_mel_88,log_mel_89,log_mel_90,log_mel_91,log_mel_92,log_mel_93,log_mel_94,log_mel_95,log_mel_96,log_mel_97,log_mel_98,log_mel_99,log_mel_100,log_mel_101,log_mel_102,log_mel_103,log_mel_104,log_mel_105,log_mel_106,log_mel_107,log_mel_108,log_mel_109,log_mel_110,log_mel_111,log_mel_112,log_mel_113,log_mel_114,log_mel_115,log_mel_116,log_mel_117,log_mel_118,log_mel_119,log_mel_120,log_mel_121,log_mel_122,log_mel_123,log_mel_124,log_mel_125,log_mel_126,log_mel_127,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
sad,0,-53.29088,-51.977215,-51.833748,-51.0075,-50.15699,-50.143013,-49.80622,-48.46534,-46.415222,-44.551723,-41.65277,-39.200493,-37.50707,-35.39088,-33.127438,-30.467976,-28.000027,-29.365334,-31.705528,-34.027992,-38.72869,-40.00461,-40.65442,-41.712875,-42.352005,-41.902283,-41.923058,-40.34324,-39.579445,-39.28597,-38.3275,-37.42433,-35.937138,-35.554367,-36.196575,-37.061115,-40.088062,-42.049446,-42.985546,-42.38,-41.720676,-40.800797,-39.43601,-38.32138,-37.708706,-36.791016,-35.29302,-34.302307,-35.479595,-37.44247,-38.755825,-39.42513,-38.25295,-37.575687,-37.912415,-38.290363,-38.143692,-40.11463,-41.73955,-40.7393,-39.915752,-39.01372,-38.133224,-38.197647,-37.959846,-37.20879,-36.408463,-37.068768,-37.79476,-38.453644,-38.619392,-39.772476,-40.592445,-40.25743,-39.471207,-40.72003,-41.04453,-39.685017,-39.592175,-40.96346,-40.442726,-40.93618,-42.314423,-43.51189,-44.791645,-45.972855,-46.451717,-45.908634,-45.23836,-45.13563,-44.968616,-44.75514,-44.65498,-43.724957,-42.47932,-42.3468,-42.989838,-43.91048,-44.25616,-43.74648,-43.15391,-42.529335,-42.41149,-43.45573,-44.621315,-45.320904,-46.202324,-46.52738,-47.115753,-47.483543,-47.727486,-47.87345,-47.902397,-48.076656,-48.88458,-49.625153,-50.39027,-50.96797,-51.319233,-51.418625,-51.544937,-51.78239,-52.25789,-52.635597,-52.87659,-53.34358,-54.03925,-54.32113,-479.5994,31.606533,-34.470085,-2.6496248,-14.19438,-5.0190835,-21.579617,-9.044331,-14.25628,-16.10836,-5.2933464,-4.50399,-6.3209643,-0.47608784,0.7025738,9.987548,13.868305,6.4365697,0.3575611,0.04866252,-3.1748185,-5.049564,0.3860863,1.6324174,-2.6089776,-1.805858,-3.9568658,0.6998872,1.6383084,1.7697992,0.9213902,0.30336764,1.7933422,-0.3462941,-2.1240058,-1.9232595,-2.293808,0.72226816,0.999029,-2.742231
sad,0,-51.77257,-50.96331,-51.74852,-52.02,-51.593494,-50.985325,-49.88521,-47.062366,-45.314,-44.16618,-40.155857,-36.688156,-35.136524,-33.189438,-32.38493,-32.16054,-33.038433,-37.14126,-40.923466,-42.329792,-44.42289,-44.612896,-44.411346,-43.565765,-41.57386,-40.29617,-41.050037,-40.472656,-39.436913,-38.696636,-38.184975,-39.252254,-40.89883,-41.949276,-43.701515,-44.25707,-43.548386,-42.80191,-42.820076,-42.762577,-42.190575,-41.935284,-40.83452,-40.375694,-40.00773,-38.717735,-38.73258,-40.282944,-42.104393,-42.284843,-41.093605,-39.68352,-38.707264,-39.20571,-40.84346,-43.00308,-43.20724,-42.262028,-41.459923,-40.653305,-41.30572,-41.27925,-41.343475,-40.89596,-40.609776,-39.280586,-38.568985,-39.069363,-40.07544,-40.77124,-41.35954,-42.089027,-42.75141,-43.437256,-42.9122,-42.60889,-42.736656,-43.487736,-43.117897,-43.76305,-44.464222,-44.546577,-45.345097,-46.226364,-47.14399,-48.20371,-48.675743,-48.522324,-47.800877,-47.626385,-48.424793,-48.45712,-47.845306,-46.827396,-46.417168,-46.331722,-46.697796,-46.65794,-46.146336,-45.528606,-45.2653,-45.119213,-44.812733,-45.304417,-46.27066,-47.179096,-48.19378,-48.813625,-49.038788,-49.773922,-50.5795,-51.038677,-51.14144,-50.825592,-50.977654,-51.647556,-52.428947,-53.47818,-54.037075,-54.381165,-54.590584,-55.07243,-55.62406,-55.968822,-56.051785,-56.826736,-57.83077,-58.169918,-506.00177,37.360924,-30.697752,1.15774,-10.724965,-0.73509955,-21.256824,-4.7944293,-11.756956,-14.0519285,-5.8957005,-6.4499445,-8.037617,-4.6098185,-6.474738,3.9030273,7.434173,7.728734,7.4629483,7.6722116,4.2813787,-1.7977325,-0.29281962,0.32849118,-1.5575476,-0.5032997,-2.4471903,-0.75946856,-1.432247,0.8335633,0.76001304,0.07575959,-0.3966899,2.2728286,3.1075163,1.5152029,-2.975466,-2.3113432,0.5582694,0.54075146
angry,0,-56.18707,-55.45502,-53.998047,-52.70449,-48.838776,-45.56885,-42.941334,-41.039513,-41.653072,-43.074955,-42.106956,-42.12299,-43.02115,-44.431995,-45.053738,-45.367905,-44.504303,-45.30683,-44.955837,-43.685963,-43.902763,-43.77238,-44.396152,-46.05676,-47.276543,-48.383873,-48.068863,-46.67139,-46.540985,-48.391064,-49.40948,-48.87232,-48.041763,-47.34482,-48.093067,-48.151985,-48.400833,-48.15251,-48.064682,-48.247868,-48.901295,-49.57211,-48.17616,-47.29305,-48.106148,-49.36614,-49.47126,-49.005512,-48.757668,-48.398582,-48.292847,-48.861164,-49.440536,-49.15791,-50.03996,-50.80397,-51.620377,-51.65772,-52.152905,-51.33404,-51.10043,-51.212048,-51.38025,-50.349194,-48.521328,-48.907337,-48.744358,-48.706066,-49.41044,-50.32515,-50.208874,-50.764587,-51.588394,-52.26802,-52.532158,-52.342976,-51.90046,-51.683144,-51.84905,-51.770313,-52.54636,-52.945774,-53.40462,-53.69911,-54.113102,-53.926945,-54.25906,-54.77158,-55.28719,-55.935966,-56.567432,-57.20623,-57.527893,-57.232315,-56.911232,-56.655354,-56.29447,-55.3513,-54.86924,-55.463127,-55.84375,-55.62445,-55.75649,-55.7522,-56.1215,-56.442833,-56.65033,-57.186893,-57.8561,-58.150322,-58.218266,-58.219944,-58.25586,-58.44786,-58.84768,-59.07056,-59.32434,-59.780777,-60.128605,-60.05327,-60.525948,-60.825684,-61.00457,-61.148582,-61.3583,-61.941147,-62.609745,-62.659122,-585.7502,52.763435,-10.848471,5.0388365,-3.4996078,-2.7646472,-9.978086,-1.51359,-9.520383,-9.057546,-5.0416927,-4.515839,-3.724873,-4.910316,-7.609563,-0.82052666,-4.042697,-7.279727,-5.1117845,-2.9424586,-2.0180545,-2.6977944,-2.42225,0.97379637,0.2518635,-0.22672087,0.7165475,0.4730178,-0.947555,1.2374766,-0.31182256,-0.6808354,-0.6612936,-0.70085233,0.55434436,1.5854324,1.7941834,1.110746,0.5889055,1.2507455
angry,0,-53.06233,-52.42824,-51.74176,-51.247635,-48.50645,-45.787895,-43.825058,-42.336353,-41.71865,-42.778217,-42.637943,-42.853634,-42.769966,-41.957764,-41.55281,-41.658382,-42.039658,-43.598244,-44.04657,-43.425983,-43.445473,-43.4618,-44.359173,-45.22897,-45.09521,-44.91513,-45.731792,-45.727707,-45.29702,-45.28917,-45.019,-45.14616,-45.916046,-45.912888,-46.75398,-47.065296,-46.692223,-46.34328,-46.265804,-45.728508,-46.59533,-47.490673,-46.821457,-46.199883,-45.183266,-45.280197,-46.365658,-47.56827,-47.76201,-47.81927,-47.711063,-46.501514,-46.917023,-47.686703,-49.275795,-49.26045,-49.75202,-50.560368,-49.34751,-48.711563,-48.943985,-49.138977,-49.241425,-46.877716,-47.240166,-46.5591,-45.832996,-46.217636,-46.49933,-47.139008,-47.432102,-48.78603,-49.38126,-49.340027,-49.18868,-49.229618,-48.990227,-48.781654,-48.64029,-48.885933,-49.36163,-49.62802,-50.59516,-51.190712,-51.95443,-52.530575,-53.053192,-53.543037,-54.021313,-53.918316,-54.189407,-54.46272,-54.1731,-53.958267,-53.900448,-53.95123,-53.48706,-52.436806,-52.002808,-52.45903,-53.25615,-53.507465,-53.19528,-53.229473,-53.477776,-53.79419,-54.618183,-55.223812,-55.42558,-55.684402,-56.096725,-56.1455,-55.911976,-55.79069,-56.202656,-56.629074,-56.84546,-57.11624,-57.627884,-57.609127,-57.565186,-57.70087,-58.017452,-58.684685,-58.922592,-59.65981,-60.28558,-60.29113,-561.96045,47.473927,-13.251723,4.4711328,-4.50301,-4.6049542,-10.232055,0.18582316,-8.084241,-9.680566,-3.9618137,-3.303894,-4.0507374,-2.8401468,-7.450097,-0.036708042,-0.23244427,-3.4330747,-2.61346,0.21222006,-1.5203731,-2.9670432,-1.7684134,0.5978694,-0.784782,-0.23429357,-0.36214867,0.008944675,-0.9581227,1.0909345,-0.033296324,0.1172372,0.019858636,1.3600143,3.2432904,1.4064947,0.3077103,-0.4536929,0.3496148,1.8704054
angry,0,-57.97046,-55.703285,-55.15288,-55.469044,-52.71411,-49.80733,-46.662605,-42.912727,-41.946373,-42.221584,-41.363594,-41.394238,-42.021057,-43.192577,-44.567337,-45.35171,-44.667526,-45.301292,-45.098587,-45.004326,-46.415627,-46.71727,-46.320404,-46.165607,-45.068848,-44.079487,-45.07696,-46.129757,-47.657677,-49.64981,-50.177135,-49.656677,-49.174603,-48.88765,-48.9571,-48.563595,-47.401318,-46.70007,-46.640533,-47.75948,-48.717766,-49.080894,-48.42495,-47.493908,-48.087204,-47.94682,-47.193245,-47.432484,-48.868248,-50.354847,-50.26761,-49.543255,-48.324146,-48.353893,-49.38861,-51.337357,-52.001953,-51.20503,-50.719864,-49.607193,-50.39641,-51.147514,-50.413162,-49.591133,-49.270687,-48.967533,-48.62576,-48.302315,-48.348183,-49.63443,-50.038895,-50.596954,-51.34602,-51.413464,-51.065533,-50.824604,-50.98297,-51.10694,-50.923283,-51.179363,-51.187416,-51.605408,-52.472717,-53.132694,-53.19462,-53.45037,-54.29047,-55.094704,-55.703323,-56.314068,-56.327263,-56.2015,-56.02515,-55.40292,-55.21917,-54.864456,-54.47713,-53.362083,-52.66029,-52.81883,-53.460636,-54.44966,-54.506554,-54.078537,-54.083805,-54.706085,-55.399582,-55.797703,-55.937344,-56.285175,-56.67664,-57.13123,-57.461807,-57.36914,-57.11224,-57.24973,-57.609325,-58.11364,-58.542946,-58.864605,-59.34016,-59.85512,-60.39825,-60.796326,-61.105026,-62.456337,-64.32768,-64.8405,-581.2424,45.47343,-13.178677,4.51052,-7.382491,-1.8964874,-13.71788,-0.9018184,-11.908792,-10.635848,-6.4171185,-4.595913,-6.1112204,-2.718498,-10.6340275,-2.7563963,-4.821651,-5.624801,-2.989111,1.4618365,0.2706106,1.455023,0.12773517,1.0588739,-1.0850457,-1.4848328,0.088579796,2.2915926,1.6108861,3.5507555,0.99121976,0.6015796,-1.3031791,1.1443561,0.78976,-0.42829904,-1.8211529,-0.46794185,1.114119,2.8207383
angry,0,-59.852863,-57.01596,-55.77966,-55.815205,-52.181,-46.5887,-42.90482,-41.472748,-42.709328,-45.963272,-45.557396,-45.99763,-46.622887,-45.43579,-44.42212,-44.29855,-44.604656,-46.354015,-46.05794,-44.830544,-46.19795,-46.76528,-46.216038,-46.71418,-47.944195,-48.760372,-49.972233,-49.670513,-49.13699,-48.70846,-48.297737,-49.15273,-50.318356,-50.222507,-50.670338,-51.21755,-50.55609,-49.515247,-48.79284,-49.35498,-50.838688,-50.614765,-49.744167,-49.02208,-49.004417,-48.847862,-49.322414,-49.82993,-50.39976,-50.85203,-50.422993,-50.329166,-51.982407,-52.968082,-52.491215,-51.51524,-52.228077,-53.769676,-54.17921,-52.79239,-53.045372,-53.174377,-52.795383,-51.57467,-51.424835,-51.07502,-49.8048,-49.905148,-51.0412,-51.212353,-52.0547,-52.583206,-52.97151,-53.65419,-53.738564,-53.573246,-53.3112,-52.787594,-53.132545,-52.712223,-53.379208,-54.178726,-55.442387,-55.636078,-56.37095,-56.39442,-56.0501,-56.409813,-56.691032,-57.05676,-57.67817,-58.480167,-58.857983,-59.18152,-59.092163,-58.78721,-58.55891,-57.963387,-56.72875,-56.1714,-56.910892,-57.665833,-57.784412,-57.37587,-57.40399,-57.657818,-58.13958,-58.54553,-59.26447,-59.5597,-59.582455,-59.912567,-60.37707,-60.510273,-60.879242,-61.43953,-61.44554,-61.91439,-62.29662,-62.372135,-62.863003,-63.540886,-64.11802,-64.559326,-64.675835,-65.4583,-66.495155,-66.94129,-605.29895,54.979652,-13.335759,6.3971453,-6.1841564,-2.4634275,-11.923446,-0.2931625,-12.157192,-9.66214,-5.5992904,-3.4929156,-3.3241642,-4.7357473,-8.359656,-1.3179872,-3.9434054,-4.710195,-4.99363,-3.1790864,-3.4631424,-4.8112855,-3.6986814,0.28316963,-2.7261279,-1.9937419,0.70647067,-0.33216524,-0.8479891,0.502809,-0.94014215,0.91225606,1.9338567,2.6450884,3.2425683,2.5357413,1.5701976,0.41025546,0.19017264,1.3951353
angry,0,-40.844704,-41.270344,-42.573784,-44.18869,-43.190666,-40.96183,-39.67017,-38.053886,-36.012604,-33.428474,-30.972092,-30.818138,-31.312048,-31.887707,-32.97143,-33.68302,-33.492733,-33.794132,-33.30175,-32.794163,-34.84997,-35.695507,-35.923912,-36.238026,-35.551476,-34.667805,-34.59203,-33.322235,-32.681778,-33.014904,-33.28278,-34.348213,-35.56339,-35.68521,-35.389946,-35.173023,-34.649994,-34.01524,-33.555267,-33.885517,-34.76216,-36.19771,-36.14839,-35.932465,-35.07706,-34.341637,-34.10887,-34.61837,-34.789963,-34.646847,-35.139732,-36.190495,-37.644062,-37.927776,-37.075897,-36.46526,-36.72128,-37.93136,-38.14835,-37.21151,-36.463173,-37.1532,-37.24371,-36.728077,-36.102257,-35.436314,-34.46406,-34.298397,-35.290543,-35.063156,-35.073006,-35.701706,-35.8527,-35.84236,-36.031693,-36.16037,-36.24797,-35.713593,-35.817974,-34.93411,-35.06308,-35.746574,-36.481953,-37.29972,-38.94536,-40.497765,-41.30707,-42.556324,-42.762543,-42.711678,-42.761894,-42.607475,-42.54223,-42.79948,-42.74608,-42.134224,-41.497772,-41.23284,-40.47889,-40.403133,-40.284996,-40.188873,-39.744892,-39.732536,-40.349354,-40.814144,-41.26848,-41.76381,-42.710686,-43.492702,-43.819542,-43.866535,-44.16352,-44.12739,-44.121777,-44.118683,-44.559185,-44.857777,-45.458164,-46.32118,-46.76225,-46.983833,-47.176674,-47.850426,-48.531395,-49.639954,-50.75853,-50.982124,-434.078,36.961742,-23.049946,3.0066395,-9.176474,-5.653897,-12.089823,4.5838404,-11.562513,-8.591844,-2.254698,-5.7823358,-5.214154,-1.1688266,-7.763672,2.4976966,1.5485306,0.5869227,0.89346385,3.890876,1.5601172,0.9311367,2.8326468,0.5045477,-0.64771354,2.9874346,3.4593298,4.4459066,2.3082852,0.68290323,-1.767374,0.43818277,-0.759328,0.042705245,0.20808187,-0.04365143,-0.66612834,0.2700296,0.14514276,0.75545335
angry,0,-44.35886,-44.54259,-45.57509,-45.960125,-43.41229,-40.60238,-38.41423,-35.8616,-35.58362,-35.4428,-34.929516,-35.353134,-36.06758,-36.058598,-34.72807,-32.545982,-30.789343,-31.928837,-33.355785,-34.387398,-36.35332,-36.057693,-36.599453,-37.886467,-36.581715,-35.548378,-36.142544,-35.97698,-36.80269,-37.91288,-38.00849,-37.155464,-35.93574,-35.292732,-35.46954,-36.137817,-37.741745,-38.237694,-38.28615,-37.066383,-36.38569,-36.919968,-37.068096,-37.257523,-37.38823,-36.585926,-36.349705,-37.162743,-38.251427,-37.858723,-37.03605,-37.16078,-38.625736,-38.666023,-38.548054,-39.829506,-40.892628,-40.740177,-39.970867,-39.81096,-39.884163,-39.133022,-39.611843,-39.38493,-38.12518,-38.019024,-37.15507,-36.027763,-36.22373,-36.581127,-37.328575,-38.4478,-38.550564,-38.42296,-38.71047,-39.18913,-38.322033,-38.052807,-37.606667,-37.990368,-38.045822,-38.151096,-39.1328,-40.04394,-41.714756,-42.90841,-43.49802,-44.58813,-45.04171,-45.00745,-45.039104,-44.447533,-44.005726,-44.06026,-43.944313,-43.701187,-43.217186,-42.653572,-42.43541,-42.455708,-42.948822,-43.188854,-43.216434,-42.991833,-43.1264,-43.437542,-44.24753,-45.151554,-45.68382,-45.838467,-46.63532,-46.925674,-47.04867,-47.22638,-47.178215,-46.878998,-46.696667,-46.979626,-47.68637,-48.300583,-48.9833,-49.40857,-49.739326,-50.102917,-50.756832,-51.73472,-52.91693,-53.103035,-458.08084,40.76658,-21.140192,4.420616,-9.136565,-6.276564,-12.101268,1.5584241,-11.671695,-10.561809,-2.9004004,-3.528738,-5.1100135,-0.01988897,-6.281399,3.0721338,1.334462,-2.0839653,-2.4846995,1.4560674,-2.5368733,-2.8829985,0.16913153,-0.9941935,-1.2321061,0.03676973,0.25638214,0.61124307,1.3768114,4.158255,3.7589357,3.6874943,0.67654383,1.0597224,0.40461308,-0.43272513,-0.80174506,1.223775,1.0026692,1.4803126
angry,0,-46.15171,-44.15565,-43.990845,-44.91634,-43.204292,-40.81551,-38.91121,-34.615356,-31.109352,-29.46148,-28.462812,-29.716614,-31.896551,-33.692314,-35.39034,-35.611683,-33.81,-32.443634,-31.057152,-30.541332,-32.199623,-32.412457,-32.6757,-33.453674,-33.29771,-33.325985,-33.74228,-33.399437,-34.019367,-35.596004,-36.127007,-36.585564,-36.463425,-36.04807,-35.61383,-34.75725,-34.029938,-34.083103,-34.866932,-35.441917,-35.838238,-36.179462,-35.055492,-34.51381,-34.430237,-34.298134,-32.55551,-32.469753,-33.68401,-34.46022,-35.332844,-35.451622,-34.811974,-35.07922,-35.458492,-36.37027,-37.001354,-37.142902,-36.49751,-36.19972,-36.803185,-37.068752,-35.416367,-34.18142,-34.540466,-34.228596,-34.19223,-33.819645,-33.20566,-33.619236,-33.55185,-33.667408,-34.678684,-35.372322,-35.553913,-35.98459,-36.175808,-35.677216,-35.380344,-35.044327,-34.61719,-35.620335,-36.260387,-36.75457,-37.741684,-38.704235,-39.98129,-40.9968,-42.027668,-41.91466,-41.7507,-42.381374,-42.226673,-41.405407,-40.802673,-39.9684,-39.20367,-38.65461,-38.180363,-38.174747,-38.2321,-38.168266,-37.758965,-37.3214,-37.592884,-38.0758,-38.77428,-39.42499,-40.411705,-41.349953,-41.812675,-41.72769,-41.981686,-42.12386,-42.036232,-42.563324,-43.35422,-43.91324,-44.373642,-44.92921,-45.422794,-45.58014,-45.795746,-46.34638,-47.014534,-48.079967,-49.848824,-50.794228,-423.49173,31.004133,-22.148773,3.4257364,-9.467511,-3.3779647,-17.521366,1.2703158,-14.5769005,-11.1318,-2.0783727,-4.462133,-4.3308268,-2.9781895,-10.246156,-0.11722223,-3.606272,-5.826836,-3.7333963,0.0646115,-1.4216516,1.6786976,3.0598047,1.8294317,1.0266248,3.0550172,2.40867,5.3523736,3.4485908,4.503856,-0.7992671,-0.22248244,-0.84552425,-0.5853581,-1.1811635,-1.1035309,-1.1717578,-0.47047183,-0.95349234,0.29283822
angry,0,-51.116867,-50.192524,-50.834175,-51.421455,-49.683487,-46.90187,-44.554546,-41.697113,-38.918613,-36.460182,-34.464527,-35.226776,-36.44308,-37.304222,-38.138477,-38.23214,-37.460514,-36.57382,-35.42495,-34.57767,-36.162254,-36.96908,-37.61687,-38.861473,-39.144283,-38.293633,-38.812134,-37.920937,-37.250374,-38.019722,-38.476624,-38.867558,-38.476097,-38.509632,-38.97949,-38.761642,-37.92198,-37.148678,-37.117886,-38.574665,-39.99173,-40.59314,-39.356342,-38.364258,-38.242485,-38.71136,-39.548584,-39.069454,-38.99055,-39.044426,-39.635406,-41.157692,-41.069016,-40.536022,-40.211834,-41.190773,-42.303265,-41.909332,-41.46236,-41.104416,-41.80725,-41.807747,-41.839806,-42.007595,-40.910313,-39.64506,-39.768288,-39.465435,-39.429775,-39.52567,-39.91444,-40.53656,-40.000313,-38.54576,-38.923855,-40.044727,-40.499187,-40.49036,-40.28223,-40.36591,-39.51871,-38.752422,-39.251167,-40.172066,-40.725983,-41.946583,-43.521835,-45.553387,-46.87104,-46.863228,-46.6183,-46.127617,-45.94233,-45.909317,-45.466465,-44.640335,-44.011528,-43.510048,-43.53276,-43.13193,-43.177727,-43.24732,-43.012714,-42.932407,-43.12966,-43.134705,-43.610497,-44.359604,-45.30288,-45.77106,-45.961052,-46.367004,-46.736866,-46.633545,-46.956932,-47.6389,-47.931976,-48.45916,-48.818516,-49.586468,-50.36748,-51.111626,-51.681282,-52.1653,-52.840767,-54.17514,-56.05019,-56.61395,-477.797,31.894796,-23.476091,2.0521405,-16.8929,-7.158306,-16.534233,2.0931842,-16.666027,-9.390957,-4.5826325,-6.7980185,-5.869929,-0.98923576,-7.952144,1.7052824,-1.7373594,-3.360427,-1.3351611,0.77747804,-2.5555658,1.6949993,2.0530837,0.6022819,2.1128516,3.2988336,1.9063951,5.443771,3.0205095,1.1937859,-0.3586156,0.6502485,-2.1548629,-0.6698758,0.80597484,0.19968644,-1.0953035,-0.3100885,-0.28205487,0.8570569
fearful,0,-57.07944,-55.574345,-55.00925,-55.3498,-54.149597,-52.18777,-48.85631,-44.896996,-42.232937,-40.77838,-39.981388,-41.38877,-44.826332,-46.44254,-47.02896,-46.5989,-45.68939,-46.02464,-45.700718,-44.615227,-45.393612,-45.585342,-46.285194,-48.415745,-48.46268,-48.76303,-50.156548,-49.93891,-49.389736,-48.684925,-47.02023,-46.56857,-46.738144,-47.993404,-48.98767,-49.447823,-49.53333,-49.77222,-48.979366,-47.43491,-47.114597,-47.290718,-47.212566,-47.572704,-47.883682,-46.949265,-46.610596,-47.09042,-48.54792,-48.655468,-48.605488,-49.36558,-48.820274,-50.615997,-52.218887,-51.762672,-51.583107,-52.180874,-52.786087,-51.89227,-51.23079,-50.800556,-51.004078,-50.35546,-49.550297,-48.678837,-48.76875,-48.219524,-48.90614,-49.747627,-49.946995,-49.883907,-51.075348,-51.328587,-52.136623,-51.6435,-51.377052,-51.890778,-51.52142,-51.582165,-52.41684,-53.06487,-53.373356,-54.08837,-55.066696,-55.92487,-56.047756,-55.97524,-56.136475,-55.518856,-55.488255,-55.730766,-55.779686,-55.84263,-55.86945,-55.78391,-55.383984,-54.90446,-54.865574,-54.964363,-55.211315,-55.014057,-55.389427,-55.658104,-55.511517,-55.893787,-56.831005,-57.889687,-57.96119,-57.614075,-57.623074,-58.294456,-58.349636,-58.2321,-58.794273,-59.267513,-59.54167,-59.948097,-60.856476,-61.53399,-61.879166,-62.015507,-62.0231,-62.2582,-62.706375,-63.474545,-64.12141,-64.161446,-589.78467,48.458622,-17.03529,3.6782796,-7.4377565,-0.882383,-10.65313,0.33379287,-10.826945,-13.163971,-6.807017,-2.8595605,-5.5852356,-5.5721292,-7.976415,-2.1098118,-0.7967203,-3.795051,-3.977672,-2.11391,-1.6495044,-2.639526,1.0952502,3.971775,3.2299154,5.341532,3.7027154,2.244259,0.5104455,1.3471099,0.54399407,1.8232611,1.1210927,0.6850128,0.18214117,-0.9840694,-1.9959798,-0.8244827,-1.031853,0.42708835
fearful,0,-54.646755,-53.775192,-54.062347,-54.435867,-53.320637,-51.36298,-48.53059,-44.024376,-41.59851,-39.463314,-37.80458,-38.183723,-40.552216,-44.246265,-47.093994,-47.16844,-45.619247,-45.02125,-44.085075,-43.832603,-44.708107,-44.224712,-43.910175,-44.881893,-45.093376,-45.841496,-47.69656,-47.95416,-48.605255,-48.81311,-47.306164,-46.141693,-45.203262,-45.054104,-45.74012,-46.093536,-47.528473,-48.502422,-49.098225,-48.89718,-47.183895,-45.893745,-45.43159,-45.88592,-46.66378,-46.473816,-46.35428,-45.94751,-46.452667,-46.57563,-46.938015,-46.908585,-46.84007,-47.852386,-48.01609,-48.351902,-49.186043,-49.267597,-49.409676,-48.904507,-48.312103,-48.078053,-48.04155,-47.78123,-47.285625,-46.6136,-45.810154,-45.751534,-46.38607,-46.994648,-48.03286,-47.940804,-48.285454,-49.210957,-49.73027,-49.886036,-49.70175,-49.955734,-49.805363,-49.493134,-50.04717,-50.951225,-51.976276,-53.077133,-53.798435,-54.631233,-54.91044,-54.828705,-54.693,-54.38172,-54.358295,-54.486122,-54.55682,-54.626476,-54.751247,-54.71923,-53.86973,-53.449596,-53.486534,-53.867077,-54.42274,-54.512554,-54.462498,-54.446346,-54.317665,-54.340164,-55.361565,-56.454823,-56.25604,-56.131065,-56.398064,-57.022507,-57.361843,-57.10908,-57.476124,-58.119057,-58.47085,-58.983353,-59.246185,-60.074413,-60.945404,-61.320774,-61.383865,-61.720383,-62.175,-63.051422,-63.844753,-63.876945,-572.09424,50.042564,-21.69739,4.183289,-5.0425167,-0.8314681,-14.074545,-0.050433207,-10.486915,-10.856222,-6.2900615,-3.3590667,-6.9415164,-5.420521,-7.69008,-2.5099015,-1.8004943,-4.62477,-4.7712693,-0.95223516,-0.55773497,0.05929706,4.639014,6.6600327,4.6237206,4.41311,2.4998958,0.5891695,0.7432383,3.1439712,1.6901052,2.1772192,0.108221404,-1.8283519,-1.4639047,-1.6437035,-1.8643494,-0.043300316,-0.51238745,0.24739386
